County,Female,Male,Total
CARLOW,15898,18575,34473
CAVAN,19018,23295,42313
CLARE,34974,37652,72626
CORK,141922,162577,304499
DONEGAL,42168,49592,91760
DUBLIN,293124,337032,630156
GALWAY,69609,76658,146267
KERRY,41010,47706,88716
KILDARE,56311,63042,119353
KILKENNY,25995,28375,54370
LAOIS,19410,22635,42045
LEITRIM,9049,10782,19831
LIMERICK COUNTY,51262,58562,109824
LONGFORD,9939,12457,22396
LOUTH,30347,35515,65862
MAYO,36758,42749,79507
MEATH,51109,56376,107485
MONAGHAN,16270,20999,37269
OFFALY,19683,23912,43595
ROSCOMMON,17963,21322,39285
SLIGO,19509,20008,39517
TIPPERARY,44037,50965,95002
WATERFORD,30999,35315,66314
WESTMEATH,23064,27010,50074
WEXFORD,41795,45277,87072
WICKLOW,38694,42566,81260